,吉利车型,低配价格,高配价格,其它车型,其它车型低配价格,其它车型高配价格
0,星越L,13.72,18.52,长安UNI-K,14.59,18.49
1,星越L,13.72,18.52,摩卡,19.28,22.88
2,星越L,13.72,18.52,揽月,17.99,23.39
3,帝豪,6.28,12.98,逸动,7.29,10.39
4,帝豪,6.28,12.98,缤瑞,7.98,10.98
5,帝豪,6.28,12.98,荣威i5,6.79,9.99
6,帝豪,6.28,12.98,科沃兹,8.39,9.99
7,博越,9.18,14.28,哈弗H6,9.89,15.70
8,博越,9.18,14.28,长安CS75 PLUS,11.79,15.49
9,博越,9.18,14.28,荣威RX5,9.33,13.98
10,博越,9.18,14.28,传祺GS4,8.98,13.18
11,星瑞,11.37,15.27,思域,11.99,16.99
12,星瑞,11.37,15.27,卡罗拉,10.98,15.98
13,星瑞,11.37,15.27,伊兰特,9.98,14.18
14,星瑞,11.37,15.27,凌渡,15.09,19.09
15,缤越,7.58,11.98,长安CS35 PLUS,6.99,10.99
16,缤越,7.58,11.98,传祺GS3,7.88,10.28
17,缤越,7.58,11.98,名爵ZS,8.58,9.98
18,缤越,7.58,11.98,柯米克,11.19,11.19
19,缤瑞,7.98,10.98,逸动,7.29,10.39
20,缤瑞,7.98,10.98,荣威i5,6.79,9.99
21,缤瑞,7.98,10.98,艾瑞泽GX,8.59,12.98
22,缤瑞,7.98,10.98,科沃兹,8.39,9.99
23,豪越,10.36,14.26,哈弗H6,9.89,15.70
24,豪越,10.36,14.26,长安CS75 PLUS,11.79,15.49
25,豪越,10.36,14.26,长安UNI-T,11.59,14.99
26,豪越,10.36,14.26,哈弗大狗,11.99,16.79
27,远景X3,4.99,6.89,宝骏510,5.38,8.08
28,远景X3,4.99,6.89,瑞虎3x,4.99,6.99
29,远景X3,4.99,6.89,长安CS15,6.19,7.69
30,远景X3,4.99,6.89,东风EV新能源EX1,4.57,5.97
31,远景X6,7.59,8.99,哈弗M6,7.19,9.29
32,远景X6,7.59,8.99,长安CS35 PLUS,6.99,10.99
33,远景X6,7.59,8.99,瑞虎5x,6.99,10.19
34,远景X6,7.59,8.99,宝骏530,7.08,9.98
35,吉利ICON,9.98,13.2,哈弗H6,9.89,15.70
36,吉利ICON,9.98,13.2,长安CS75 PLUS,11.79,15.49
37,吉利ICON,9.98,13.2,长安UNI-T,11.59,14.99
38,吉利ICON,9.98,13.2,长安CS55 PLUS,9.29,12.19
39,星越,12.78,18.78,T-ROC探歌,15.89,17.79
40,星越,12.78,18.78,领克01,17.98,20.18
41,星越,12.78,18.78,马自达CX-4,14.88,21.58
42,星越,12.78,18.78,哈弗F7x,11.99,15.49
43,帝豪S,8.49,10.89,宝骏530,7.08,9.98
44,帝豪S,8.49,10.89,瑞虎7,8.39,11.89
45,帝豪S,8.49,10.89,宝骏RS-3,6.38,9.88
46,帝豪S,8.49,10.89,哈弗初恋,7.89,11.29
47,帝豪L 雷神Hi·X,12.98,14.58,秦PLUS DM-i,11.18,16.58
48,帝豪L 雷神Hi·X,12.98,14.58,卡罗拉双擎E+,20.78,23.08
49,帝豪L 雷神Hi·X,12.98,14.58,雷凌双擎E+,20.38,21.88
50,帝豪L 雷神Hi·X,12.98,14.58,领动PHEV,19.78,22.18
51,帝豪L,9.39,10.99,影豹,9.83,13.68
52,帝豪L,9.39,10.99,奕炫MAX,9.39,13.79
53,帝豪L,9.39,10.99,锐程CC,9.79,11.29
54,帝豪L,9.39,10.99,缤瑞,7.98,10.98
55,嘉际,11.98,14.28,宝骏RM-5,7.88,12.08
56,嘉际,11.98,14.28,上汽大通MAXUS G50,8.68,16.58
57,嘉际,11.98,14.28,瑞虎8,9.58,16.8888
58,嘉际,11.98,14.28,哈弗H6,9.89,15.70
59,博瑞,13.18,14.38,红旗H5,14.58,19.08
60,博瑞,13.18,14.38,名图,13.38,16.88
61,博瑞,13.18,14.38,速腾,12.79,17.29
62,博瑞,13.18,14.38,卡罗拉,10.98,15.98
63,缤越新能源,11.98,13.58,本田XR-V,12.79,17.59
64,缤越新能源,11.98,13.58,领克06,11.86,13.98
65,缤越新能源,11.98,13.58,缤智,12.78,17.68
66,缤越新能源,11.98,13.58,奕泽IZOA,14.58,18.98
67,星越S,13.57,17.17,星越,12.78,18.78
68,星越S,13.57,17.17,传祺GS4 Coupe,13.68,14.68
69,星越S,13.57,17.17,长安CS85 COUPE,11.99,16.49
70,星越S,13.57,17.17,哈弗神兽,13.00,16.70
71,帝豪新能源,13.58,16.18,名爵6 PHEV,14.58,19.98
72,帝豪新能源,13.58,16.18,卡罗拉双擎E+,20.78,23.08
73,帝豪新能源,13.58,16.18,秦Pro DM,13.69,20.49
74,帝豪新能源,13.58,16.18,大众ID.3,14.9888,18.2288
75,星越新能源,15.58,19.68,宋Pro DM-i,13.88,16.38
76,星越新能源,15.58,19.68,领克01 PHEV,19.97,22.67
77,星越新能源,15.58,19.68,传祺GS4 PHEV,16.38,19.38
78,星越新能源,15.58,19.68,玛奇朵DHT-PHEV,17.88,18.98
79,嘉际新能源,15.18,17.48,宋MAX DM-i,14.58,17.28
80,嘉际新能源,15.18,17.48,上汽大通MAXUS EUNIQ 5,17.68,21.28
81,嘉际新能源,15.18,17.48,上汽大通MAXUS G10,14.58,19.08
82,嘉际新能源,15.18,17.48,风行M7,12.69,26.99
83,博瑞新能源,15.58,16.98,名爵6 PHEV,14.58,19.98
84,博瑞新能源,15.58,16.98,秦Pro EV,14.99,20.49
85,博瑞新能源,15.58,16.98,荣威ei6 MAX,13.68,18.88
86,博瑞新能源,15.58,16.98,威马E.5,16.01,19.01
