,吉利车型,低配价格,高配价格,其它车型,其它车型低配价格,其它车型高配价格
0,星越L,13.72,18.52,长安UNI-K,14.59,18.49
1,星越L,13.72,18.52,长安UNI-K,14.59,18.49
2,星越L,13.72,18.52,摩卡,19.28,22.88
3,星越L,13.72,18.52,摩卡,19.28,22.88
4,星越L,13.72,18.52,揽月,17.99,23.39
5,星越L,13.72,18.52,揽月,17.99,23.39
6,帝豪,6.28,12.98,逸动,7.29,10.39
7,帝豪,6.28,12.98,逸动,7.29,10.39
8,帝豪,6.28,12.98,缤瑞,7.98,10.98
9,帝豪,6.28,12.98,缤瑞,7.98,10.98
10,帝豪,6.28,12.98,荣威i5,6.79,9.99
11,帝豪,6.28,12.98,荣威i5,6.79,9.99
12,帝豪,6.28,12.98,科沃兹,8.39,9.99
13,帝豪,6.28,12.98,科沃兹,8.39,9.99
14,博越,9.18,14.28,哈弗H6,9.89,15.70
15,博越,9.18,14.28,哈弗H6,9.89,15.70
16,博越,9.18,14.28,长安CS75 PLUS,11.79,15.49
17,博越,9.18,14.28,长安CS75 PLUS,11.79,15.49
18,博越,9.18,14.28,荣威RX5,9.33,13.98
19,博越,9.18,14.28,荣威RX5,9.33,13.98
20,博越,9.18,14.28,传祺GS4,8.98,13.18
21,博越,9.18,14.28,传祺GS4,8.98,13.18
22,星瑞,11.37,15.27,思域,11.99,16.99
23,星瑞,11.37,15.27,思域,11.99,16.99
24,星瑞,11.37,15.27,卡罗拉,10.98,15.98
25,星瑞,11.37,15.27,卡罗拉,10.98,15.98
26,星瑞,11.37,15.27,伊兰特,9.98,14.18
27,星瑞,11.37,15.27,伊兰特,9.98,14.18
28,星瑞,11.37,15.27,凌渡,15.09,19.09
29,星瑞,11.37,15.27,凌渡,15.09,19.09
30,缤越,7.58,11.98,长安CS35 PLUS,6.99,10.99
31,缤越,7.58,11.98,长安CS35 PLUS,6.99,10.99
32,缤越,7.58,11.98,传祺GS3,7.88,10.28
33,缤越,7.58,11.98,传祺GS3,7.88,10.28
34,缤越,7.58,11.98,名爵ZS,8.58,9.98
35,缤越,7.58,11.98,名爵ZS,8.58,9.98
36,缤越,7.58,11.98,柯米克,11.19,11.19
37,缤越,7.58,11.98,柯米克,11.19,11.19
38,缤瑞,7.98,10.98,逸动,7.29,10.39
39,缤瑞,7.98,10.98,逸动,7.29,10.39
40,缤瑞,7.98,10.98,荣威i5,6.79,9.99
41,缤瑞,7.98,10.98,荣威i5,6.79,9.99
42,缤瑞,7.98,10.98,艾瑞泽GX,8.59,12.98
43,缤瑞,7.98,10.98,艾瑞泽GX,8.59,12.98
44,缤瑞,7.98,10.98,科沃兹,8.39,9.99
45,缤瑞,7.98,10.98,科沃兹,8.39,9.99
46,豪越,10.36,14.26,哈弗H6,9.89,15.70
47,豪越,10.36,14.26,哈弗H6,9.89,15.70
48,豪越,10.36,14.26,长安CS75 PLUS,11.79,15.49
49,豪越,10.36,14.26,长安CS75 PLUS,11.79,15.49
50,豪越,10.36,14.26,长安UNI-T,11.59,14.99
51,豪越,10.36,14.26,长安UNI-T,11.59,14.99
52,豪越,10.36,14.26,哈弗大狗,11.99,16.79
53,豪越,10.36,14.26,哈弗大狗,11.99,16.79
54,远景X3,4.99,6.89,宝骏510,5.38,8.08
55,远景X3,4.99,6.89,宝骏510,5.38,8.08
56,远景X3,4.99,6.89,瑞虎3x,4.99,6.99
