购车APP,吉利车型,一级,二级,三级,低配价格,高配价格,吉利价格段,竞品品牌,集团,其它车型,一级,二级,三级,其它车型低配价格,其它车型高配价格,其它车型价格段,差价,是否顺差,价格段是否相同
懂车帝,星越L,206c1dd782aa442aa8c47a90f16ed932,052f73d298bab74dce3c1e78b0ea8f1a,052f73d298bab74dce3c1e78b0ea8f1a,13.72,18.52,10-15,长安汽车,长安,长安UNI-K,95744f21ad1bb26f9eb522433471cecc,334cab7d98f94e588fb1e309c2c0f811,,14.59,18.49,10-15,-0.87,0,1
懂车帝,帝豪,206c1dd782aa442aa8c47a90f16ed932,9082cdbb1883e2b7d8a50f93d7837a4e,9082cdbb1883e2b7d8a50f93d7837a4e,6.28,12.98,5-10,长安汽车,长安,逸动,95744f21ad1bb26f9eb522433471cecc,27cab33c1f4352c900d367741a8bafcf,,7.29,10.39,5-10,-1.01,0,1
懂车帝,帝豪,206c1dd782aa442aa8c47a90f16ed932,9082cdbb1883e2b7d8a50f93d7837a4e,9082cdbb1883e2b7d8a50f93d7837a4e,6.28,12.98,5-10,上汽集团,上汽,荣威i5,,cfdbd0410d0488997a9f6403b307d370,,6.79,9.99,5-10,-0.51,0,1
懂车帝,帝豪,206c1dd782aa442aa8c47a90f16ed932,9082cdbb1883e2b7d8a50f93d7837a4e,9082cdbb1883e2b7d8a50f93d7837a4e,6.28,12.98,5-10,上汽通用雪佛兰,上汽,科沃兹,,,,8.39,9.99,5-10,-2.11,0,1
懂车帝,博越,206c1dd782aa442aa8c47a90f16ed932,cc41921421596f103ce590d3997bef5b,cc41921421596f103ce590d3997bef5b,9.18,14.28,5-10,长城汽车,长城,哈弗H6,,,,9.89,15.7,5-10,-0.71,0,1
懂车帝,博越,206c1dd782aa442aa8c47a90f16ed932,cc41921421596f103ce590d3997bef5b,cc41921421596f103ce590d3997bef5b,9.18,14.28,5-10,长安汽车,长安,长安CS75 PLUS,,,,11.79,15.49,10-15,-2.61,0,0
懂车帝,博越,206c1dd782aa442aa8c47a90f16ed932,cc41921421596f103ce590d3997bef5b,cc41921421596f103ce590d3997bef5b,9.18,14.28,5-10,上汽集团,上汽,荣威RX5,,,,9.33,13.98,5-10,-0.15,0,1
懂车帝,博越,206c1dd782aa442aa8c47a90f16ed932,cc41921421596f103ce590d3997bef5b,cc41921421596f103ce590d3997bef5b,9.18,14.28,5-10,广汽乘用车,广汽,传祺GS4,,,,8.98,13.18,5-10,0.2,0,1
懂车帝,星瑞,206c1dd782aa442aa8c47a90f16ed932,5993dbe66626dcaffb90db1936833509,5993dbe66626dcaffb90db1936833509,11.37,15.27,10-15,东风本田,东风,思域,,,,11.99,16.99,10-15,-0.62,0,1
懂车帝,星瑞,206c1dd782aa442aa8c47a90f16ed932,5993dbe66626dcaffb90db1936833509,5993dbe66626dcaffb90db1936833509,11.37,15.27,10-15,丰田,丰田,卡罗拉,,,,10.98,15.98,10-15,0.39,0,1
懂车帝,缤越,206c1dd782aa442aa8c47a90f16ed932,3937fb60bc69191a956953f9e2ac17c7,3937fb60bc69191a956953f9e2ac17c7,7.58,11.98,5-10,长安汽车,长安,长安CS35 PLUS,,,,6.99,10.99,5-10,0.59,0,1
懂车帝,缤越,206c1dd782aa442aa8c47a90f16ed932,3937fb60bc69191a956953f9e2ac17c7,3937fb60bc69191a956953f9e2ac17c7,7.58,11.98,5-10,广汽乘用车,广汽,传祺GS3,,,,7.88,10.28,5-10,-0.3,0,1
懂车帝,缤越,206c1dd782aa442aa8c47a90f16ed932,3937fb60bc69191a956953f9e2ac17c7,3937fb60bc69191a956953f9e2ac17c7,7.58,11.98,5-10,上汽集团,上汽,名爵ZS,,,,8.58,9.98,5-10,-1,0,1
