,detailedaddress,prefecture_id,prefecture_name,county_id,county_name,township_id,township_name,addresslevel,id,name,road_id,road_name,village_id,village_name,block_id,block_name,building_id,building_name,unit_id,unit_name,floor_id,floor_name,door_id,door_name,p_day,p_city
2822,杭州市西湖区留下镇小和山社区新苑二区7# --- 14#,2,杭州市,19,西湖区,267,留下镇,4,2314857,7# --- 14#,2308970,小和山社区,\N,\N,2311867,新苑二区,2314857,7# --- 14#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
2823,杭州市西湖区留下镇小和山社区新苑二区15# --- 24#,2,杭州市,19,西湖区,267,留下镇,4,2311869,15# --- 24#,2308970,小和山社区,\N,\N,2311867,新苑二区,2311869,15# --- 24#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
2824,杭州市西湖区留下镇小和山社区新苑二区33# --- 40#,2,杭州市,19,西湖区,267,留下镇,4,2314859,33# --- 40#,2308970,小和山社区,\N,\N,2311867,新苑二区,2314859,33# --- 40#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
2825,杭州市西湖区留下镇小和山社区新苑二区1# --- 6#,2,杭州市,19,西湖区,267,留下镇,4,2311868,1# --- 6#,2308970,小和山社区,\N,\N,2311867,新苑二区,2311868,1# --- 6#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
2826,杭州市西湖区留下镇小和山社区新苑二区25# --- 32#,2,杭州市,19,西湖区,267,留下镇,4,2311870,25# --- 32#,2308970,小和山社区,\N,\N,2311867,新苑二区,2311870,25# --- 32#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
498773,杭州市西湖区古荡街道益乐社区益乐南村小区一区34# --- 37#（正）,2,杭州市,19,西湖区,264,古荡街道,7,44422675,（正）,88243,益乐社区,5387692,益乐南村小区,\N,\N,5387740,一区34# --- 37#,\N,\N,\N,\N,44422675,（正）,20220601.0,2.0
499078,杭州市西湖区留下镇小和山社区小和山新苑新苑一区33# --- 44#(CTT-高新),2,杭州市,19,西湖区,267,留下镇,7,25378332,(CTT-高新),2308970,小和山社区,5445672,小和山新苑,5445775,新苑一区,5445787,33# --- 44#,\N,\N,\N,\N,25378332,(CTT-高新),20220601.0,2.0
513440,杭州市西湖区留下镇小和山社区小和山新苑新苑三区19# --- 28#商铺（CTT-高新）,2,杭州市,19,西湖区,267,留下镇,7,25423638,（CTT-高新）,2308970,小和山社区,5445672,小和山新苑,5445859,新苑三区,21442601,19# --- 28#商铺,\N,\N,\N,\N,25423638,（CTT-高新）,20220601.0,2.0
513441,杭州市西湖区留下镇小和山社区小和山新苑新苑二区33# --- 40#商铺（CTT-高新）,2,杭州市,19,西湖区,267,留下镇,7,25423649,（CTT-高新）,2308970,小和山社区,5445672,小和山新苑,5445705,新苑二区,21442612,33# --- 40#商铺,\N,\N,\N,\N,25423649,（CTT-高新）,20220601.0,2.0
513442,杭州市西湖区留下镇小和山社区小和山新苑新苑五区1# --- 10#商铺（CTT-高新）,2,杭州市,19,西湖区,267,留下镇,7,25423653,（CTT-高新）,2308970,小和山社区,5445672,小和山新苑,5445674,新苑五区,21442623,1# --- 10#商铺,\N,\N,\N,\N,25423653,（CTT-高新）,20220601.0,2.0
513475,杭州市西湖区古荡街道益乐社区益乐南村小区一区55# --- 60#商铺（正）,2,杭州市,19,西湖区,264,古荡街道,7,44424958,（正）,88243,益乐社区,5387692,益乐南村小区,\N,\N,21452853,一区55# --- 60#商铺,\N,\N,\N,\N,44424958,（正）,20220601.0,2.0
945995,杭州市西湖区留下镇小和山社区小和山新苑5区41# --- 44#,2,杭州市,19,西湖区,267,留下镇,4,61265117,41# --- 44#,2308970,小和山社区,5445672,小和山新苑,61265116,5区,61265117,41# --- 44#,\N,\N,\N,\N,\N,\N,20220601.0,2.0
