detailedaddress,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,grade_13,prefecture_id,prefecture_name,county_id,county_name,township_id,township_name,addresslevel,id,name,road_id,road_name,village_id,village_name,block_id,block_name,building_id,building_name,unit_id,unit_name,floor_id,floor_name,door_id,door_name,名字,对错,描述,类型
杭州市淳安县千岛湖镇新安东路庄天岭小区1幢1楼,nan,杭州市,淳安县,千岛湖镇,,新安东路,,庄天岭小区 \N,,1幢,,1楼,\N\N,2,杭州市,23,淳安县,144,千岛湖镇,6,56249254,1楼,17059,新安东路,56084970,庄天岭小区,\N,\N,56239343,1幢,\N,\N,56249254,1楼,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇环湖北路91号,nan,杭州市,淳安县,千岛湖镇,,环湖北路,,\N,,\N,,\N, ,2,杭州市,23,淳安县,144,千岛湖镇,2,76591657,91号,8693848,环湖北路,76591657,91号,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇阳光路金色阳光23幢1单元1楼102室（集团高价值）,nan,杭州市,淳安县,千岛湖镇,,阳光路,,金色阳光\N,,23幢,1单元,1楼,102室（集团高价值）,2,杭州市,23,淳安县,144,千岛湖镇,7,106609244,102室（集团高价值）,17063,阳光路,28121157,金色阳光,\N,\N,47019804,23幢,47019805,1单元,47019886,1楼,106609244,102室（集团高价值）,郑涵睿,正确,,
杭州市淳安县千岛湖镇环湖北路玉兰花园17幢16楼,nan,杭州市,淳安县,千岛湖镇,,环湖北路,,玉兰花园\N,,17幢,,16楼,\N\N,2,杭州市,23,淳安县,144,千岛湖镇,6,105819082,16楼,8693848,环湖北路,65339101,玉兰花园,\N,\N,105818986,17幢,\N,\N,105819082,16楼,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇环湖南路大指岛丽湖馨居7幢2楼202,nan,杭州市,淳安县,千岛湖镇,,环湖南路,,大指岛丽湖馨居\N,,7幢,,2楼,\N202,2,杭州市,23,淳安县,144,千岛湖镇,7,45376055,202,8478404,环湖南路,45375006,大指岛丽湖馨居,\N,\N,45375040,7幢,\N,\N,45376053,2楼,45376055,202,郑涵睿,正确,,
杭州市淳安县千岛湖镇李家坞社区风暴巷小区19幢1单元306室,nan,杭州市,淳安县,千岛湖镇,李家坞社区, ,,风暴巷小区 \N,,19幢,1单元,\N,306室,2,杭州市,23,淳安县,144,千岛湖镇,7,58659071,306室,2522162,李家坞社区,30762287,风暴巷小区,\N,\N,58658980,19幢,58659068,1单元,\N,\N,58659071,306室,郑涵睿,正确,,
杭州市淳安县姜家镇上玉泉村任家村85号（集团高价值）,nan,杭州市,淳安县,姜家镇,上玉泉村, ,,任家村 \N,,85号,,\N,（集团高价值）\N\N,2,杭州市,23,淳安县,136,姜家镇,4,106685432,85号（集团高价值）,56805005,上玉泉村,57537170,任家村,\N,\N,106685432,85号（集团高价值）,\N,\N,\N,\N,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇环湖北路玉兰花园7幢2单元6楼601室,nan,杭州市,淳安县,千岛湖镇,,环湖北路,,玉兰花园\N,,7幢,2单元,6楼,601室,2,杭州市,23,淳安县,144,千岛湖镇,7,72723854,601室,8693848,环湖北路,65339101,玉兰花园,\N,\N,72710615,7幢,72710620,2单元,72723853,6楼,72723854,601室,郑涵睿,正确,,
杭州市淳安县千岛湖镇芙蓉路芙蓉苑小区1幢3单元3楼306,nan,杭州市,淳安县,千岛湖镇,,芙蓉路,,芙蓉苑小区 \N,,1幢,3单元,3楼,306,2,杭州市,23,淳安县,144,千岛湖镇,7,45923066,306,45922994,芙蓉路,45922995,芙蓉苑小区,\N,\N,45922996,1幢,45923063,3单元,45923064,3楼,45923066,306,郑涵睿,正确,,
杭州市淳安县千岛湖镇南苑社区南苑曙光新村31幢2单元203,nan,杭州市,淳安县,千岛湖镇,南苑社区, ,,南苑曙光新村 \N,,31幢203,,\N,203\N\N,2,杭州市,23,淳安县,144,千岛湖镇,4,2541652,31幢2单元203,2384829,南苑社区,2541645,南苑曙光新村,\N,\N,2541652,31幢2单元203,\N,\N,\N,\N,\N,\N,郑涵睿,错误,building_name回填错误且消失grade_10多出203，2单元消失,算法待优化
杭州市淳安县千岛湖镇马路村余岭村农居点16幢,nan,杭州市,淳安县,千岛湖镇,马路村, ,,余岭村 农居点,,,,\N,\N\N,2,杭州市,23,淳安县,144,千岛湖镇,4,59566063,16幢,18300,马路村,58892838,余岭村,59566032,农居点,59566063,16幢,\N,\N,\N,\N,\N,\N,郑涵睿,错误,building_name回填消失，16幢消失,算法待优化
杭州市淳安县千岛湖镇南山一路紫荆花园11幢2单元,nan,杭州市,淳安县,千岛湖镇,,南山一路,,紫荆花园\N,,11幢,2单元,\N,\N,2,杭州市,23,淳安县,144,千岛湖镇,5,45533621,2单元,2201776,南山一路,45533137,紫荆花园,\N,\N,45533521,11幢,45533621,2单元,\N,\N,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇西园路景秀花园23幢2单元,nan,杭州市,淳安县,千岛湖镇,,西园路,,景秀花园\N,,23幢,2单元,\N,\N,2,杭州市,23,淳安县,144,千岛湖镇,5,47221067,2单元,47220252,西园路,47220253,景秀花园,\N,\N,47221047,23幢,47221067,2单元,\N,\N,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇新安南路8号商铺8,nan,杭州市,淳安县,千岛湖镇,,新安南路,,\N,,\N,,\N, 商铺8,2,杭州市,23,淳安县,144,千岛湖镇,7,55808501,商铺8,2201565,新安南路,55808499,8号,\N,\N,\N,\N,\N,\N,\N,\N,55808501,商铺8,郑涵睿,错误,village_name回填错误，8号消失,算法待优化
杭州市淳安县中洲镇枫林坞村中洲镇枫林坞村卫生院2F,nan,杭州市,淳安县,中洲镇,枫林坞村, ,,\N中洲镇枫林坞村卫生院,,,,2F,\N\N\N,2,杭州市,23,淳安县,152,中洲镇,6,76954995,2F,56805658,枫林坞村,\N,\N,76954993,中洲镇枫林坞村卫生院,\N,\N,\N,\N,76954995,2F,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇睦州大道六合浅山9幢11楼1103室（集团高价值）,nan,杭州市,淳安县,千岛湖镇,,睦州大道,,六合浅山\N,,9幢,,11楼,\N1103室（集团高价值）,2,杭州市,23,淳安县,144,千岛湖镇,7,123359208,1103室（集团高价值）,40575632,睦州大道,122941390,六合浅山,\N,\N,123357546,9幢,\N,\N,123359203,11楼,123359208,1103室（集团高价值）,郑涵睿,正确,,
杭州市淳安县界首乡姚家村姚家老村委,nan,杭州市,淳安县,界首乡,姚家村, ,,姚家老村委,,,,\N,\N\N\N,2,杭州市,23,淳安县,137,界首乡,3,98846428,老村委,92434748,姚家村,98846165,姚家,98846428,老村委,\N,\N,\N,\N,\N,\N,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇新安北路55幢1单元402室,nan,杭州市,淳安县,千岛湖镇,,新安北路,,\N\N,,55幢,1单元,\N,402室,2,杭州市,23,淳安县,144,千岛湖镇,7,55823586,402室,17053,新安北路,\N,\N,\N,\N,55823597,55幢,55823598,1单元,\N,\N,55823586,402室,郑涵睿,正确,,
杭州市淳安县汾口镇汾口村大福基村52号,nan,杭州市,淳安县,汾口镇,汾口村, ,,大福基村 \N,,52号,,\N,\N\N,2,杭州市,23,淳安县,133,汾口镇,4,109372035,52号,17889,汾口村,109369935,大福基村,\N,\N,109372035,52号,\N,\N,\N,\N,\N,\N,郑涵睿,正确,,
杭州市淳安县千岛湖镇康盛路康盛花园5幢3单元205室,nan,杭州市,淳安县,千岛湖镇,,康盛路,,康盛花园\N,,5幢,3单元,\N,205室,2,杭州市,23,淳安县,144,千岛湖镇,7,60746361,205室,32906313,康盛路,54950298,康盛花园,\N,\N,60736877,5幢,60746336,3单元,\N,\N,60746361,205室,郑涵睿,正确,,
杭州市淳安县威坪镇双溪路三都花园二区12幢2单元204室,nan,杭州市,淳安县,威坪镇,,双溪路,,三都花园,2区,12幢,2单元,\N,204室,2,杭州市,23,淳安县,148,威坪镇,7,55021471,204室,140612,双溪路,55019739,三都花园,71170307,二区,55019866,12幢,55021457,2单元,\N,\N,55021471,204室,郑涵睿,正确,,
杭州市淳安县枫树岭镇下姜村1楼111号,nan,杭州市,淳安县,枫树岭镇,下姜村, ,,\N\N,,111号,,1楼,\N\N,2,杭州市,23,淳安县,134,枫树岭镇,7,50946105,111号,8410536,下姜村,\N,\N,\N,\N,\N,\N,\N,\N,50945803,1楼,50946105,111号,郑涵睿,正确,,
杭州市淳安县千岛湖镇康盛路盛坪饭店,nan,杭州市,淳安县,千岛湖镇,,康盛路,,\N\N,,\N,,\N,盛坪饭店,2,杭州市,23,淳安县,144,千岛湖镇,7,50019910,盛坪饭店,32906313,康盛路,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,50019910,盛坪饭店,郑涵睿,正确,,
杭州市淳安县千岛湖镇排岭北路李家坞社区51幢1单元502室,nan,杭州市,淳安县,千岛湖镇,,排岭北路,,李家坞社区\N,,51幢,1单元,\N,502室,2,杭州市,23,淳安县,144,千岛湖镇,7,5597882,502室,17068,排岭北路,40229440,李家坞社区,\N,\N,5597849,51幢,5597852,1单元,\N,\N,5597882,502室,郑涵睿,正确,,
杭州市淳安县临岐镇右源村凤村自然村3-1号,nan,杭州市,淳安县,临岐镇,右源村, ,,凤村自然村 \N,,1号,,\N,3-\N\N,2,杭州市,23,淳安县,5146,临岐镇,4,91396409,3-1号,56804480,右源村,91368198,凤村自然村,\N,\N,91396409,3-1号,\N,\N,\N,\N,\N,\N,郑涵睿,错误,building_name回填错误，应将3—1号放在grade_10,算法待优化
杭州市淳安县千岛湖镇施家塘社区塘边弄11幢2单元704,nan,杭州市,淳安县,千岛湖镇,施家塘社区, 塘边弄,, \N,,11幢,2单元,\N,704,2,杭州市,23,淳安县,144,千岛湖镇,7,41448020,704,2525366,施家塘社区,8744238,塘边弄,\N,\N,9279192,11幢,9279229,2单元,\N,\N,41448020,704,郑涵睿,正确,,
